1535473312,15,Napo
2465935929,24,Santa Elena
0567946263,05,Cotopaxi
1504315607,15,Napo
1072911143,10,Imbabura
0410525747,04,Carchi
0378682762,03,Cañar
1682984480,16,Pastaza
0868726188,08,Esmeraldas
2287564133,22,Orellana
1963440091,19,Zamora Chinchipe
1253402223,12,Los Ríos
0981578251,09,Guayas
0609875895,06,Chimborazo
0577779982,05,Cotopaxi
0204072407,02,Bolívar
1223596962,12,Los Ríos
1527286722,15,Napo
1814176989,18,Tungurahua
1115089161,11,Loja
2000592714,20,Galápagos
1811890752,18,Tungurahua
0601769858,06,Chimborazo
0337739695,03,Cañar
1094098153,10,Imbabura
1452721198,14,Morona Santiago
2495049264,24,Santa Elena
2304280256,23,Santo Domingo de los Tsáchilas
1116936260,11,Loja
0858722054,08,Esmeraldas
1068067666,10,Imbabura
2265755684,22,Orellana
0321074900,03,Cañar
2482001560,24,Santa Elena
0379114768,03,Cañar
0974407149,09,Guayas
2317104563,23,Santo Domingo de los Tsáchilas
1955936218,19,Zamora Chinchipe
1676295061,16,Pastaza
2400982404,24,Santa Elena
2392336711,23,Santo Domingo de los Tsáchilas
1249794949,12,Los Ríos
0128271950,01,Azuay
0845482720,08,Esmeraldas
0698128612,06,Chimborazo
1235718278,12,Los Ríos
2275557669,22,Orellana
2018952039,20,Galápagos
0105384735,01,Azuay
2113842280,21,Sucumbíos
1760515784,17,Pichincha
1901380072,19,Zamora Chinchipe
1346470264,13,Manabí
1198014422,11,Loja
1760566394,17,Pichincha
1641464038,16,Pastaza
0254845792,02,Bolívar
2288701195,22,Orellana
1787710988,17,Pichincha
1503730112,15,Napo
2025232041,20,Galápagos
1384844581,13,Manabí
2375736880,23,Santo Domingo de los Tsáchilas
2107062774,21,Sucumbíos
1482067707,14,Morona Santiago
0192502799,01,Azuay
1614413946,16,Pastaza
0293997153,02,Bolívar
0627025670,06,Chimborazo
0484308850,04,Carchi
1803567147,18,Tungurahua
0274155281,02,Bolívar
0562246721,05,Cotopaxi
1352034789,13,Manabí
1906734576,19,Zamora Chinchipe
2101318730,21,Sucumbíos
1388380889,13,Manabí
0413251509,04,Carchi
1498692449,14,Morona Santiago
0777849606,07,El Oro
2079587221,20,Galápagos
2114882394,21,Sucumbíos
1136126639,11,Loja
1753906387,17,Pichincha
0966660872,09,Guayas
0479683426,04,Carchi
0761096561,07,El Oro
0126789287,01,Azuay
1682230148,16,Pastaza
0960661684,09,Guayas
0723708432,07,El Oro
1895023305,18,Tungurahua
0599432861,05,Cotopaxi
0749710724,07,El Oro
1033219424,10,Imbabura
0799701255,07,El Oro
1628079911,16,Pastaza
1446370956,14,Morona Santiago
0504147208,05,Cotopaxi
0501599815,05,Cotopaxi
